Name,Type,Distance,Hours,Description,Website,MapLink,
Wine Trail,Wine,Varies,,, ,https://senecalakewine.com/wp-content/uploads/2018/12/SLWT_map_2019_forWeb.jpg,https://senecalakewine.com/wp-content/uploads/2016/11/SLWT_VineyardMap_2017_LetterSize.pdf
Finger Lakes Distilling,"Whiskey, Vodka, Gin",35 Minutes,11am - 5pm,Classic finger lake merch like glasses. ,http://www.fingerlakesdistilling.com/,"https://www.google.com/maps/place/Finger+Lakes+Distilling/@42.4601992,-76.8657662,17z/data=!3m1!4b1!4m5!3m4!1s0x89d0f4fdbc454eeb:0xa85589238ab3dfe7!8m2!3d42.4601992!4d-76.8635775",
Worthog Cidery,"Cider, Wine",7 Minutes,11am - 5pm (10am F & Sa),Sweet wine and cider ,,"https://www.google.com/maps/place/Worthog+Cidery/@42.6156648,-76.9473146,14.13z/data=!4m5!3m4!1s0x89d0eeed8ed96d27:0x494dee3551dc8769!8m2!3d42.6297478!4d-76.9450584",
Climbing Bines Craft Ale,Beer,6 Minutes,"11am - 6pm (1pm - 6pm Th, Closed Monday)",Has disk golf and cornhole,http://www.climbingbineshopfarm.com/,"https://www.google.com/maps/place/Climbing+Bines+Hop+Farm+%26+Brewery/@42.6595527,-76.9436397,17z/data=!3m1!4b1!4m5!3m4!1s0x89d0e94b862aa8a5:0xa7bb0aef1d5b7b2a!8m2!3d42.6595488!4d-76.941451",
Fox Run Vinyards,Wine,6 minutes,10am - 6pm (11am Su),Serves food and you can tour around for a small fee.,https://foxrunvineyards.com/index.asp,"https://www.google.com/maps/place/Fox+Run+Vineyards/@42.7059689,-76.9832307,14z/data=!4m5!3m4!1s0x89d0e82eea56dbd5:0x56bd9aed70cd6856!8m2!3d42.7309703!4d-76.9724474",
Abandoned Brewing Company,Beer,17 minutes,Varies each day,,http://www.abandonbrewing.com/,"https://www.google.com/maps/place/Abandon+Brewing+Company/@42.6267711,-76.9703892,12z/data=!4m8!1m2!2m1!1sbrewery!3m4!1s0x0:0xa70dfb096909ca6d!8m2!3d42.6318275!4d-77.1049047",
Gael Brewing Company,Beer,14 minutes,11am - 6pm (F-M),Irish bar? Limited options,"https://www.google.com/maps/place/GAEL+Brewing+Company/@42.831695,-76.9803917,12.5z/data=!4m9!1m3!2m2!1sbrewery!6e5!3m4!1s0x0:0xeba27119c2d6f8c1!8m2!3d42.8315256!4d-76.9801068","https://www.google.com/maps/place/GAEL+Brewing+Company/@42.831695,-76.9803917,12.5z/data=!4m9!1m3!2m2!1sbrewery!6e5!3m4!1s0x0:0xeba27119c2d6f8c1!8m2!3d42.8315256!4d-76.9801068",
Lake Drum Brewing,"Beer, cider",19 minutes,Varies each day,Small bar,,"https://www.google.com/maps/place/Lake+Drum+Brewing/@42.8679844,-76.9809651,12z/data=!4m9!1m3!2m2!1sbrewery!6e5!3m4!1s0x89d0c51137dfa13b:0x1ba3ca27505bef32!8m2!3d42.86774!4d-76.980968",
Starkey's Lookout,Wine,17 minutes,11am - 5pm (10am on Su),"Wine, beer, and whiskey all within walking distance",http://www.starkeyslookout.com/index.asp,"https://www.google.com/maps/place/Starkey's+Lookout/@42.5009241,-76.9247401,19.5z/data=!4m9!1m3!2m2!1sbrewery!6e5!3m4!1s0x0:0x70d0e05b5b2377fb!8m2!3d42.5011649!4d-76.9252852",
The O'Begley Distillery,"Whiskey, Beer",17 minutes,12am - 5pm (F -Su),Right next to Starkeys,http://www.obegley.com/,"https://www.google.com/maps/place/The+O'Begley+Distillery/@42.5001141,-76.9251536,17z/data=!4m21!1m15!4m14!1m6!1m2!1s0x89d0e9ced2d7860f:0x3b41451dbd9c5aab!2sDreaming+a+View,+Charles+Street,+Dresden,+NY!2m2!1d-76.956587!2d42.68703!1m6!1m2!1s0x89d0f6acb381f40b:0x70d0e05b5b2377fb!2sStarkey's+Lookout,+5428+NY-14,+Dundee,+NY+14837!2m2!1d-76.9252844!2d42.501164!3m4!1s0x89d0f153789f9cad:0x33df6f53646f37d6!8m2!3d42.5010448!4d-76.9247259",
